country_match,country_llm,countries,time_of_day_iou,time_of_day_llm,time_of_day,type_of_dish_iou,type_of_dish_llm,type_of_dish,utensils_iou,utensils_llm,utensils,ingredients_iou,ingredients_intersect,ingredients_union
True,Algeria,Algeria,0.5,"['lunch', 'dinner']",['lunch'],0.5,"['Main dish - stand alone (e.g. one pot meal)', 'Side dish']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Right Hand', 'Fingers']",spoon,0.07692307692307693,['chicken'],"['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'onions', 'garlic', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper', 'olive oil', 'tomatoes']"
False,Kuwait.,Algeria,0.0,"['lunch', 'dinner']",['anytime'],0.5,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Right Hand', 'Fingers']",spoun,0.07692307692307693,['olive oil'],"['olive oil', 'couscous', 'sugar', 'lavender', 'lamb or beef', 'onions', 'garlic', 'tomatoes', 'paprika', 'cumin', 'coriander', 'salt', 'black pepper']"
False,Morocco,Algeria,1.0,"['lunch', 'dinner']","['lunch', 'dinner']",0.5,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",['Main dish - stand alone (e.g. one pot meal)'],0.0,['Right Hand'],"spoon, fork",0.8333333333333334,"['ghee', 'butter', 'chicken', 'cinnamon', 'onions']","['ghee', 'butter', 'chickpea', 'chicken', 'cinnamon', 'onions']"
False,Benin.,Algeria,1.0,"['lunch', 'dinner']","['lunch', 'dinner']",0.5,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Right Hand', 'Fingers']",fork,0.07142857142857142,['garlic'],"['garlic', 'chicken', 'pepper', 'meat', 'Green bean', 'tomatoes', 'onions', 'olive oil', 'lamb meat', 'cumin', 'coriander', 'cayenne pepper', 'salt', 'black pepper']"
False,Tunisia,Algeria,0.5,"['dinner', 'snack', 'celebrations']",['snack'],1.0,['Dessert'],['Dessert'],1.0,['Right Hand'],hands,0.2,"['flour', 'sugar']","['baking powder', 'flour', 'sugar', 'egg', 'almonds', 'butter', ""confectioner's sugar"", 'eggs', 'milk', 'yeast']"
False,Morocco,Algeria,0.0,['breakfast'],"['lunch', 'dinner']",0.5,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",['Main dish - stand alone (e.g. one pot meal)'],0.0,['Right Hand'],spoon,0.1875,"['onion', 'garlic', 'olive oil']","['tomatoes', 'onion', 'bell peppers', 'olives', 'garlic', 'olive oil', 'salt', 'black pepper', 'chili peppers', 'carrot', 'semolina', 'courgette', 'butter', 'ras el hanout', 'chickpea', 'meat']"
False,Mauritania.,Algeria,0.5,"['dinner', 'special occasions']","['lunch', 'dinner']",0.5,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Right Hand', 'Fingers']",spoon,0.1111111111111111,"['beef', 'onion']","['carrot', 'onion', 'olive oil', 'potato', 'artichoke', 'beef', 'ras el hanout', 'pea', 'meat', 'lamb or beef', 'garlic', 'ginger', 'cumin', 'coriander', 'paprika', 'cayenne pepper', 'salt', 'black pepper']"
True,Algeria,Algeria,1.0,"['lunch', 'dinner']","['lunch', 'dinner']",1.0,"['Main dish - eaten with sides', 'Small plate / bowl for sharing']","['Main dish - eaten with sides', 'Small plate / bowl for sharing']",0.3333333333333333,"['Right Hand', 'Fingers']","fork, hands",0.45454545454545453,"['black pepper', 'paprika', 'cumin', 'garlic', 'coriander']","['black pepper', 'paprika', 'cumin', 'garlic', 'coriander', 'minced meat', 'lamb', 'beef', 'cayenne', 'salt', 'olive oil']"
False,Morocco,Algeria,1.0,"['lunch', 'dinner']","['lunch', 'dinner']",0.0,"['Main dish - eaten with sides', 'Soup']",['Side dish'],0.0,"['Right Hand', 'Fingers']",bread,0.2727272727272727,"['tomato', 'olive oil', 'pepper']","['tomato', 'olive oil', 'pepper', 'lentils', 'onions', 'garlic', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper']"
True,Algeria,Algeria,1.0,"['lunch', 'dinner']","['lunch', 'dinner']",0.5,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",['Main dish - eaten with sides'],0.0,['Right Hand'],"spoon, fork",0.4166666666666667,"['carrot', 'olive oil', 'cumin', 'chicken', 'onions']","['carrot', 'olive oil', 'cumin', 'chicken', 'raisins', 'prunes', 'onions', 'garlic', 'coriander', 'paprika', 'cayenne pepper', 'salt']"
False,Morocco,Algeria,0.3333333333333333,"['breakfast', 'snack', 'anytime']",['snack'],0.0,['Main dish - stand alone (e.g. one pot meal)'],['Side dish'],0.0,['Right Hand'],,0.2,"['Sugar', 'Yeast', 'Sesame seeds']","['semolina', 'flour', 'Milk', 'Sugar', 'Yeast', 'sesame', 'water', 'Oil', 'Wheat flour', 'Water', 'Salt', 'Olive oil', 'Anise seeds', 'Nigella seeds', 'Fennel seeds']"
False,Ethiopia.,Algeria,0.0,"['breakfast', 'snack']",['anytime'],0.5,"['Main dish - stand alone (e.g. one pot meal)', 'Side dish']",['Side dish'],0.0,"['Right Hand', 'Fingers']",,1.0,"['garlic', 'olive oil', 'paprika', 'cumin']","['olive oil', 'paprika', 'cumin', 'garlic']"
True,Algeria,Algeria,1.0,"['lunch', 'dinner']","['lunch', 'dinner']",0.0,"['Main dish - stand alone (e.g. one pot meal)', 'Side dish']",['Main dish - eaten with sides'],0.0,['Right Hand'],"spoon, fork",0.3333333333333333,"['potato', 'onion', 'garlic', 'tomato']","['carrot', 'tomato', 'onion', 'potato', 'meadow sweet', 'garlic', 'lamb or beef', 'peppers', 'cumin', 'paprika', 'olive oil', 'salt and black pepper']"
False,Tunisia,Algeria,0.3333333333333333,"['breakfast', 'dinner']","['lunch', 'dinner']",0.5,"['Main dish - stand alone (e.g. one pot meal)', 'Soup']",['Soup'],0.0,"['Right Hand', 'Fingers']",spoon,1.0,"['onion', 'garlic', 'vermicelli']","['onion', 'garlic', 'vermicelli']"
False,Iraq,Algeria,1.0,"['lunch', 'dinner']","['lunch', 'dinner']",0.3333333333333333,"['Main dish - eaten with sides', 'Side dish']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",0.0,['Right Hand'],spoon,0.15384615384615385,"['tomato', 'meat']","['tomato', 'parsley', 'artichoke', 'meat', 'Stuffed cabbage leaves', 'Ground meat (beef or lamb)', 'Onions', 'Rice', 'Paprika', 'Cumin', 'Garlic', 'Salt', 'Black pepper']"
True,Tunisia,Algeria,0.5,"['breakfast', 'snack']",['snack'],0.0,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",['Dessert'],0.5,"['Right Hand', 'Fingers']",hands,0.11764705882352941,"['flour', 'sugar']","['almond', 'vanilla', 'butter', 'flour', 'sugar', 'lemon juice', 'orange water', 'semolina flour', 'water', 'salt', 'yeast', 'olive oil', 'anise seeds', 'sesame seeds', 'fennel seeds', 'black pepper', 'garlic']"
False,Lebanon,Algeria,0.5,"['breakfast', 'snack']",['snack'],0.0,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",['Dessert'],0.5,"['Right Hand', 'Fingers']",hands,0.15384615384615385,"['butter', 'sugar']","['vanilla extract', 'butter', 'sugar', 'lemon zest', 'semolina flour', 'ghee or butter', 'milk', 'rose water', 'orange blossom water', 'ground almonds', 'pistachios', 'coconut flakes', 'cardamom powder']"
True,Algeria,Algeria,0.5,"['dinner', 'special occasions']","['lunch', 'dinner']",1.0,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",0.0,"['Right Hand', 'Fingers']","spoon, bread",0.2857142857142857,"['tomato', 'onion', 'paprika', 'cumin']","['carrot', 'tomato', 'onion', 'potato', 'paprika', 'cumin', 'chickpea', 'meat', 'lamb meat', 'garlic', 'olive oil', 'coriander', 'salt', 'black pepper']"
False,Tunisia,Algeria,0.3333333333333333,"['dinner', 'snack', 'anytime']",['snack'],0.0,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",['Dessert'],0.5,"['Right Hand', 'Fingers']",hands,0.13333333333333333,"['honey', 'sugar']","['honey', 'vanilla extract', 'butter', 'flour', 'Sugar', 'egg', 'Oil', 'almonds', 'pistachios', 'hazelnuts', 'dried fruits', 'rose water', 'orange blossom water', 'semolina flour', 'milk']"
False,Morocco,Algeria,0.5,"['breakfast', 'snack']",['snack'],0.0,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",['Dessert'],0.5,"['Right Hand', 'Fingers']",hands,0.25,"['Flour', 'Yeast', 'Sugar']","['semolina', 'sunflower oil', 'flour', 'Sugar', 'Yeast', 'Salt', 'Vegetable oil', 'Eggs', 'Warm water', 'Active dry yeast', 'Baking powder', 'Anise seeds']"
False,Wales.,Algeria,0.0,"['lunch', 'dinner']",['snack'],0.0,"['Main dish - eaten with sides', 'Side dish']",['Dessert'],0.5,"['Right Hand', 'Fingers']",hands,0.1875,"['almond', 'coconut', 'peanut']","['almond', 'milk chocolate', 'grated coconut', 'peanut', 'halva', 'crushed biscuits', 'Chickpeas', 'Onions', 'Garlic', 'Cumin', 'Coriander', 'Paprika', 'Cayenne pepper', 'Tomatoes', 'Olive oil', 'Salt']"
False,Egypt,Algeria,0.3333333333333333,"['breakfast', 'snack', 'anytime']",['snack'],1.0,['Dessert'],['Dessert'],0.0,"['Right Hand', 'Fingers']",,0.06666666666666667,['sugar'],"['flour', 'sugar', 'egg', 'Oil', 'vanilla extract', 'baking powder', 'Semolina flour', 'ghee', 'milk', 'rose water', 'orange blossom water', 'pistachios', 'almonds', 'coconut flakes', 'cardamom']"
