id,local_name,english_name,language,language_code,countries,continent,regions,cultures,time_of_day,time_of_day_more,type_of_dish,type_of_dish_more,utensils,drink,occasions,occasions_more,ingredients,recipe,more_details,public_cc_image_url,public_cc_image_caption,uploaded_image_name,uploaded_image_url,uploaded_image_caption
748,Tli Tli B'djedj - تليتلي بالجاج,,Daridja arabic,ary,Algeria,Africa,"East, Center",,['lunch'],,['Main dish - stand alone (e.g. one pot meal)'],,spoon,,regular,,"chicken, tlitli, Chickpeas, cinamon",https://www.youtube.com/watch?v=-HONnGceFJc,,No CC Images Available,,,,
745,طعام الحلحال - t3am 7al7al,taam-haalhaal,Daridja arabic,ary,Algeria,Africa,Miliana,,['anytime'],traditional meal eaten to celebrate spring,['Main dish - stand alone (e.g. one pot meal)'],,spoun,,special,Spring,"olive oil, couscous, Sugar, lavender",https://www.youtube.com/watch?v=w7gVsSTnKjc,,No CC Images Available,,,,
899,khdawedj ala darbouz,khdawej ala derbuz,Daridja arabic,ary,Algeria,Africa,"Center, Algiers",,"['lunch', 'dinner']",,['Main dish - stand alone (e.g. one pot meal)'],,"spoon, fork",,regular,,"ghee, butter, chickpea, chicken, cinnamon, onions",https://cuisinebonoisedezika.blogspot.com/2019/11/inedit-khdawedj-ala-darbouz-tajine-el.html,"the name of the dish means ""Khdawedj on a dark spot"", Khdawedj is the daughter of Hassan Pacha the last ruler of Algiers before the French invasion, Khdawedj was a princess living in the Casbah, Algiers and she was blind, she was called khdawedj the blind ""khdawedj al amia"" and this dish was one of her favourites. The dish is also called the Casbah Tajine. Nowadays, the Casbah is a historic site preserved by the UNESCO",No CC Images Available,,,,
897,zaligou,zaligu,Daridja arabic,ary,Algeria,Africa,"East, Constantine",,"['lunch', 'dinner']",,['Main dish - stand alone (e.g. one pot meal)'],,fork,,regular,,"garlic, chicken, pepper, meat, Green bean",https://fr.wikipedia.org/wiki/Zaligou,,No CC Images Available,,,,
889,gateau el mabroucha,gateau el mabroucha,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,hands,"tea, milk and coffee",regular,,"baking powder, flour, Sugar, egg, apricot jam, lemon zest, Oil",http://cuisinealgerie.com/gateau-el-mabroucha-gateau-a-la-confiture/,,No CC Images Available,,,,
863,chakhchoukhat dhfer,shakhshoukhet dhfer,Daridja arabic,ary,Algeria,Africa,"Constantine, East",East,"['lunch', 'dinner']",,['Main dish - stand alone (e.g. one pot meal)'],,spoon,,both,"Yennayer, Ramadhan, Mouloud, Achoura","carrot, semolina, onion, courgette, butter, garlic, ras el hanout, chickpea, meat, Oil",http://cuisinealgerie.com/chakhchoukhat-el-dfer-ou-chakhchoukha-constantinoise/,,No CC Images Available,,,,
862,tadjin djelbana,tajin jelbana/ pea stew,Daridja arabic,ary,Algeria,Africa,,,"['lunch', 'dinner']",,['Main dish - stand alone (e.g. one pot meal)'],,spoon,,regular,,"carrot, onion, olive oil, potato, artichoke, beef, ras el hanout, pea, meat",https://www.196flavors.com/algeria-tajine-jelbana/,,No CC Images Available,,,,
861,merguez,mergez/algerian sausages,Daridja arabic,ary,Algeria,Africa,,,"['lunch', 'dinner']",,"['Main dish - eaten with sides', 'Small plate / bowl for sharing']",,"fork, hands",,regular,,"black pepper, paprika, cumin, garlic, coriander, minced meat",https://www.196flavors.com/merguez/,,No CC Images Available,,,,
860,hmis,hmis/pepper salad,Daridja arabic,ary,Algeria,Africa,,,"['lunch', 'dinner']",,['Side dish'],,bread,,regular,,"tomato, olive oil, pepper",https://www.196flavors.com/algeria-felfla-hmiss/,,https://api.openverse.org/v1/images/c169b613-8a31-4b76-a18d-7c5e3b6d39b3/thumb/,this image shows algerian pepper and tomato salad called hmis,,,
859,poulet aux carottes à l'algerienne,algerian chicken with carrots,Daridja arabic,ary,Algeria,Africa,,,"['lunch', 'dinner']",,['Main dish - eaten with sides'],,"spoon, fork",,regular,,"carrot, olive oil, cumin, chicken, raisins, prunes, onions",https://www.allrecipes.com/gallery/best-algerian-recipes/,,No CC Images Available,,,,
