country_match,country_llm,countries,time_of_day_iou,time_of_day_llm,time_of_day,type_of_dish_iou,type_of_dish_llm,type_of_dish,utensils_iou,utensils_llm,utensils,ingredients_iou,ingredients_intersect,ingredients_union
True,Algeria,Algeria,0.5,"['lunch', 'dinner']",['lunch'],1.0,['Main dish - stand alone (e.g. one pot meal)'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Other']",spoon,0.07692307692307693,['chicken'],"['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'onions', 'garlic', 'tomato paste', 'coriander', 'cumin', 'paprika', 'olive oil', 'lemon', 'salt']"
True,Algeria,Algeria,0.5,"['lunch', 'dinner']",['lunch'],1.0,['Main dish - stand alone (e.g. one pot meal)'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Other']",spoon,0.07692307692307693,['chicken'],"['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'onions', 'tomatoes', 'garlic', 'olive oil', 'coriander', 'cumin', 'paprika', 'salt', 'pepper']"
True,Algeria,Algeria,0.5,"['lunch', 'dinner']",['lunch'],1.0,['Main dish - stand alone (e.g. one pot meal)'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand']",spoon,0.07692307692307693,['chicken'],"['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'onions', 'garlic', 'tomatoes', 'paprika', 'coriander', 'olive oil', 'lemon', 'cumin', 'salt']"
True,Algeria,Algeria,0.5,"['lunch', 'dinner']",['lunch'],1.0,['Main dish - stand alone (e.g. one pot meal)'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand', 'Left Hand']",spoon,0.07692307692307693,['Chicken'],"['Chicken', 'Chickpeas', 'tlitli', 'Cinamon', 'Onion', 'Tomato', 'Garlic', 'Paprika', 'Coriander', 'Cumin', 'Olive Oil', 'Salt', 'Pepper']"
True,Algeria,Algeria,0.5,"['lunch', 'dinner']",['lunch'],0.0,['Main dish - eaten with sides'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand', 'Bread']",spoon,0.07692307692307693,['chicken'],"['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'vermicelli pasta', 'onions', 'tomato paste', 'garlic', 'coriander', 'cumin', 'bay leaves', 'olive oil', 'salt']"
False,Morocco,Algeria,0.0,['lunch'],['anytime'],1.0,['Main dish - stand alone (e.g. one pot meal)'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand', 'Left Hand']",spoun,0.07692307692307693,['olive oil'],"['olive oil', 'couscous', 'sugar', 'lavender', 'lamb meat', 'onions', 'garlic', 'chickpeas', 'tomatoes', 'cumin', 'coriander', 'paprika', 'harissa']"
False,Egypt,Algeria,0.0,"['breakfast', 'lunch', 'dinner']",['anytime'],0.0,"['Starter', 'Soup']",['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand', 'Other']",spoun,0.14285714285714285,"['olive oil', 'sugar']","['olive oil', 'couscous', 'Sugar', 'lavender', 'lamb meat', 'onions', 'tomatoes', 'potatoes', 'garlic', 'chickpeas', 'paprika', 'cumin', 'coriander', 'bay leaves']"
False,Tunisia,Algeria,0.0,"['breakfast', 'snack']",['anytime'],0.0,['Soup'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand', 'Left Hand']",spoun,0.07692307692307693,['olive oil'],"['olive oil', 'couscous', 'Sugar', 'lavender', 'semolina', 'onions', 'garlic', 'tomato paste', 'chickpeas', 'lamb', 'cumin', 'coriander', 'paprika']"
False,Libya,Algeria,0.0,"['breakfast', 'lunch', 'dinner']",['anytime'],0.0,['Soup'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand', 'Other']",spoun,0.0625,['couscous'],"['olive oil', 'couscous', 'sugar', 'lavender', 'chickpeas', 'meat', 'onions', 'tomatoes', 'carrots', 'potatoes', 'zucchini', 'turnips', 'spices', 'cumin', 'paprika', 'cinnamon']"
False,Morocco,Algeria,1.0,['anytime'],['anytime'],0.0,['Main dish - eaten with sides'],['Main dish - stand alone (e.g. one pot meal)'],0.0,"['Fingers', 'Right Hand', 'Other']",spoun,0.07692307692307693,['olive oil'],"['olive oil', 'couscous', 'Sugar', 'lavender', 'lamb meat', 'onions', 'garlic', 'tomatoes', 'chickpeas', 'cumin', 'coriander', 'paprika', 'potatoes']"
