id,local_name,country_gt,seed,describe,language,country,region,culture,time_of_day,type_of_dish,utensils,drink,ingredients,occasions
748,Tli Tli B'djedj - تليتلي بالجاج,Algeria,0,"`Tli Tli B'djedj - تليتلي بالجاج` is a traditional Algerian dish! From what I know, it's a hearty and flavorful stew made with chicken, usually served with a thick, rich sauce.

The name ""Tli Tli"" refers to the sound of the sauce simmering in the pot, which is a lovely touch. ""B'djedj"" means ""with chicken"" in Algerian Arabic. So, the name literally translates to ""the simmering sound of chicken stew.""

In this dish, tender pieces of chicken are slow-cooked in a rich, aromatic sauce made with a blend of spices, onions, garlic, ginger, tomatoes, and sometimes potatoes or other vegetables. The sauce is typically thickened with a roux or breadcrumbs, giving it a velvety texture.

`Tli Tli B'djedj` is often served with a side of crusty bread, couscous, or rice, allowing diners to soak up the flavorful sauce. It's a comforting, home-style dish that's popular in Algeria and other parts of North Africa. Would you like to know more about its cultural significance or how it's typically prepared?",Arabic,Algeria,Maghreb.,Algerian.,"[""lunch"", ""dinner""]","[""Main dish - stand alone (e.g. one pot meal)"", ""Side dish""]","[""Right Hand"", ""Fingers""]","{""answer"": ""Yes"", ""details"": ""Traditionally, Tli Tli B'djedj is often served with a cup of Atay (Algerian mint tea) or Sharbat (a sweet drink made with fruit syrup and water) in Algeria.""}","['chicken', 'onions', 'garlic', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper', 'olive oil', 'tomatoes']","{""answer"": [""Religious holiday"", ""Family gathering""], ""details"": ""Tli Tli B'djedj - تليتلي بالجاج is a traditional Algerian dish often served on special occasions such as Eid al-Fitr (.END OF RAMADAN) and Eid al-Adha, as well as during family gatherings and celebrations.""}"
745,طعام الحلحال - t3am 7al7al,Algeria,0,"T3am 7al7al (طعام الحلحال) is a traditional Algerian dish that originates from the eastern part of the country, particularly from the city of Skikda. The name ""T3am 7al7al"" literally translates to ""sweet dish"" in Arabic.

T3am 7al7al is a sweet and savory pastry made with a flaky, crispy crust filled with a sweet and spicy mixture of ingredients. The filling typically consists of a mixture of chopped nuts (almonds or walnuts), dried fruits (such as raisins and apricots), and spices like cinnamon, ginger, and black pepper.

The pastry is usually flavored with rose water and orange blossom water, giving it a distinctive aroma and taste. The filling is then wrapped in a thin layer of dough, sealed, and baked until golden brown.

T3am 7al7al is often served as a dessert or a snack, especially during special occasions and celebrations like weddings and Eid festivities. It's a beloved treat in Algerian culture, and its unique flavor and aroma evoke a sense of nostalgia and tradition.

Would you like to know more about the cultural significance of T3am 7al7al or its preparation process?",Arabic,Kuwait.,Lebanon.,Yemeni,"[""lunch"", ""dinner""]","[""Main dish - stand alone (e.g. one pot meal)"", ""Main dish - eaten with sides""]","[""Right Hand"", ""Fingers""]","{""answer"": ""Yes"", ""details"": ""In Algeria, طعام الحلحال - t3am 7al7al is often served with a cup of traditional mint tea, also known as 'Atay', which is an integral part of the country's hospitality and cultural heritage.""}","['lamb or beef', 'onions', 'garlic', 'tomatoes', 'olive oil', 'paprika', 'cumin', 'coriander', 'salt', 'black pepper']","{""answer"": [""Religious holiday"", ""Family gathering""], ""details"": ""T3am 7al7al, a traditional Algerian dish, is often served on special occasions such as Eid al-Fitr and Eid al-Adha, which are significant religious holidays in Algeria. It's also commonly served during family gatherings and celebrations.""}"
899,khdawedj ala darbouz,Algeria,0,"I apologize, but as a conversational AI, I have to admit that I've never heard of `khdawedj ala darbouz` before, and a quick search didn't turn up any information about this dish, even from Algerian cuisine. It's possible that it's a lesser-known or regional dish, or it could be a misspelling or variation of a different dish.

If you could provide more context or information about `khdawedj ala darbouz`, I may be able to help you better. Alternatively, if you'd like, I can try to help you explore Algerian cuisine and suggest some popular dishes from the region.",Arabic,Morocco,North Africa,Lebanese.,"[""lunch"", ""dinner""]","[""Main dish - stand alone (e.g. one pot meal)"", ""Main dish - eaten with sides""]","[""Right Hand""]","{""answer"": ""Yes"", ""details"": ""In Algeria, khdawedj ala darbouz is often served with a traditional tea, such as Atay, to complement its rich flavors.""}","I apologize, but as a helpful assistant, I must inform you that I couldn't find any information on a traditional Algerian dish called ""khdawedj ala darbouz"". It's possible that it's a misspelling, a made-up name, or a very regional/local dish that is not well-known.

However, if you'd like, I can help you explore other traditional Algerian dishes or help with a different topic. Just let me know!","{""answer"": [""Religious holiday"", ""Family gathering""], ""details"": ""Khdawedj ala darbouz is a traditional Algerian dish that is often served on special occasions such as Eid al-Fitr and Eid al-Adha, which are significant religious holidays in Algeria. It is also commonly served at family gatherings and celebrations, where it is shared among loved ones as a symbol of unity and hospitality.""}"
897,zaligou,Algeria,0,"`Zaligou`! It's a beloved traditional Algerian dish, and I'm happy to share what I know about it.

`Zaligou` is a hearty, flavorful stew originating from the eastern region of Algeria, particularly in the Kabylie mountains. This comforting dish is often served on special occasions and is a staple in many Algerian households.

The main ingredients in `zaligou` typically include tender chunks of lamb or beef, sometimes a combination of both, slow-cooked in a rich, aromatic broth. The meat is typically browned to perfection before being simmered in a flavorful mixture of onions, garlic, and a blend of spices, including cumin, paprika, and black pepper.

What sets `zaligou` apart is the addition of a unique ingredient: dried fruits, particularly apricots, prunes, and sometimes dates. These fruits add a natural sweetness, balancing the savory flavors of the meat and spices. The fruits also help to thicken the stew, creating a rich, velvety texture.

`Zaligou` is often served over a bed of couscous, which helps to soak up the flavorful broth. It's a nourishing, satisfying meal that's perfect for special gatherings or everyday comfort food.

In Algerian culture, `zaligou` is synonymous with hospitality and warm gatherings. When served at family gatherings or celebrations, it's a symbol of love, generosity, and community.",Wolof,Benin.,West Africa,West African.,"[""lunch"", ""dinner""]","[""Main dish - stand alone (e.g. one pot meal)"", ""Main dish - eaten with sides""]","[""Right Hand"", ""Fingers""]","{""answer"": ""Yes"", ""details"": ""In Algeria, it's common to enjoy zaligou with a refreshing glass of mint tea, which helps to balance the rich flavors of the dish.""}","['tomatoes', 'onions', 'garlic', 'olive oil', 'lamb meat', 'cumin', 'coriander', 'cayenne pepper', 'salt', 'black pepper']","{""answer"": [""Wedding"", ""Religious holiday"", ""Family gathering""], ""details"": ""In Algeria, zaligou is often served at joyful gatherings and celebrations, marking important milestones and bringing people together.""}"
889,gateau el mabroucha,Algeria,0,"Gateau El Mabroucha! This traditional Algerian cake is a delight to talk about. Gateau El Mabroucha, which translates to ""Blessed Cake"" in Arabic, is a rich and moist dessert originating from Algeria. This delightful treat is typically served on special occasions, such as weddings, Eid celebrations, and other festive events.

Gateau El Mabroucha is characterized by its dense, buttery texture and sweet, nutty flavor. The cake is made with ground almonds, sugar, eggs, and flour, which gives it a dense, moist consistency. The ingredients are carefully mixed and then baked to perfection in a slow oven, resulting in a golden-brown crust that's both crispy and delicate.

One of the distinctive features of Gateau El Mabroucha is its generous sprinkling of powdered sugar on top, adding an extra layer of sweetness and texture to the cake. In some variations, the cake may also be flavored with hints of orange blossom water or rose water, which adds an exotic, aromatic twist.

 Gateau El Mabroucha is often served with a steaming cup of mint tea, which complements the sweetness of the cake perfectly. This traditional Algerian dessert is a true delight, and its rich flavors and textures have made it a beloved treat throughout the country.",French-Arabic.,Tunisia,North Africa.,Tunisian,"[""dinner"", ""snack"", ""celebrations""]","[""Dessert""]","[""Right Hand""]","{""answer"": ""Yes"", ""details"": ""Traditionally, Algerians often pair gateau el mabroucha with a warm cup of mint tea or a strong Arabic coffee to balance the sweetness of the cake.""}","['flour', 'almonds', 'butter', 'confectioner\'s sugar', 'eggs', 'orange flower water', 'rose water', 'milk', 'sugar', 'yeast']","{""answer"": [""Child birth"", ""Religious holiday"", ""Family gathering""], ""details"": ""Gateau el Mabroucha is a traditional Algerian cake that is often served on special occasions, including celebrations of new births, religious holidays, and family gatherings. It's a sweet and delicious way to mark important life events and bring people together.""}"
863,chakhchoukhat dhfer,Algeria,0,"`Chakhchoukhat dhfer` (also spelled as `Chakchoukat dhfer` or `Shakshuka`) is a traditional Algerian dish that originated from the North African region! It's a flavorful and hearty meal that's deeply rooted in Algerian cuisine.

`Chakhchoukhat dhfer` is essentially a type of North African omelette, where eggs are cooked in a rich, spicy tomato sauce, often served with crusty bread or over rice. The dish typically consists of a flavorful mixture of sautéed onions, bell peppers, garlic, and tomatoes, which are then mixed with spices like cumin, paprika, and chili peppers.

The dish gets its name from the Arabic word ""chakhchoukha,"" which means ""to shake"" or ""to mix,"" referring to the act of scrambling the eggs into the spicy tomato sauce. The ""dhfer"" part of the name means ""pepper"" in Arabic, highlighting the importance of peppers in this recipe.

This beloved Algerian dish is often served as a comforting breakfast, brunch, or even a light dinner. It's a staple in many Algerian households, where it's commonly prepared for family gatherings and social events. The aromatic flavors, vibrant colors, and satisfying texture of `Chakhchoukhat dhfer` make it a beloved national dish that embodies the warm hospitality of Algerian culture.

Would you like to know more about its cultural significance or perhaps some variations of the recipe?",Berber.,Morocco,North Africa.,Algerian,"[""breakfast""]","[""Main dish - stand alone (e.g. one pot meal)"", ""Main dish - eaten with sides""]","[""Right Hand""]","{""answer"": ""Yes"", ""details"": ""Traditionally, Algerians often enjoy chakhchoukhat dhfer with a cup of strong mint tea, also known as 'Atay', which complements the flavors and aromas of the dish.""}","['Tomatoes', 'Onions', 'Bell Peppers', 'Olives', 'Capertas', 'Garlic', 'Olive Oil', 'Salt', 'Black Pepper', 'Chili Peppers']","{""answer"": [""Religious holiday"", ""Family gathering""], ""details"": ""Chakhchoukhat dhfer is a traditional Algerian dish that is often served during special occasions such as Eid al-Fitr and Eid al-Adha, as well as during family gatherings and celebrations.""}"
862,tadjin djelbana,Algeria,0,"`Tadjin Djelbana` is a traditional Algerian dish originating from the city of Algiers, specifically from the Casbah quarter. The name ""Tadjin Djelbana"" literally translates to ""DJellab's plate"" or ""DJellab's stew"", with ""DJellab"" being a traditional Algerian garment worn by men.

`Tadjin Djelbana` is a flavorful and hearty meat stew made with a slow-cooked combination of lamb or beef, onions, garlic, and a blend of aromatic spices, including cumin, coriander, and paprika. The dish is typically cooked in a clay pot over low heat, which allows the flavors to meld together beautifully.

The stew is usually served with a side of crusty bread, allowing diners to mop up the rich, flavorful sauce. Some variations of `Tadjin Djelbana` may also include vegetables like potatoes, carrots, and zucchini, but the core ingredients remain the same.

This beloved Algerian dish is often served on special occasions and is a staple of family gatherings and celebrations. Its rich flavors and aromas evoke a sense of warmth, comfort, and community, making it a beloved part of Algerian culinary heritage.",Wolof.,Mauritania.,Mauritania.,Mauretanian.,"[""dinner"", ""special occasions""]","[""Main dish - stand alone (e.g. one pot meal)"", ""Main dish - eaten with sides""]","[""Right Hand"", ""Fingers""]","{""answer"": ""Yes"", ""details"": ""Traditionally, Algerians often pair tadjin djelbana with a glass of mint tea, which helps to balance the rich flavors of the dish.""}","['lamb or beef', 'onions', 'garlic', 'ginger', 'cumin', 'coriander', 'paprika', 'cayenne pepper', 'salt', 'black pepper']","{""answer"": [""Religious holiday"", ""National holiday"", ""Family gathering""], ""details"": ""Tadjin djelbana is a traditional Algerian dish, often served during important celebrations and gatherings, including religious holidays, national holidays, and family reunions.""}"
861,merguez,Algeria,0,"Merguez!

Merguez is a type of sausage originating from Algeria, a North African country. It is a popular spicy lamb sausage that is highly seasoned with a blend of aromatic spices, herbs, and chili peppers. The name ""merguez"" comes from the Arabic word ""murqaz,"" meaning ""spicy.""

The traditional Algerian merguez sausage is typically made from lamb meat, which is minced and mixed with a secret blend of spices, including cumin, coriander, paprika, garlic, and chili peppers. The mixture is then stuffed into natural casings, such as lamb or beef intestines, and formed into long, thin links.

Merguez has a distinctive, bold flavor profile that is both spicy and aromatic. The lamb meat provides a rich, gamey flavor, while the spices add a depth of warmth and heat. The chili peppers, in particular, give the sausage its signature kick.

In Algerian cuisine, merguez is often served grilled or pan-fried and is typically accompanied by crusty bread, olives, and a side of harissa, a spicy chili pepper paste. It's a staple dish in many Algerian households and is often served at social gatherings and celebrations.

Overall, Algerian merguez is a delicious and flavorful sausage that is deeply rooted in the country's culinary traditions. Its bold flavors and spicy kick have made it a beloved dish in Algeria and beyond!",Arabic,Algeria,North Africa,North African,"[""lunch"", ""dinner""]","[""Main dish - eaten with sides"", ""Small plate / bowl for sharing""]","[""Right Hand"", ""Fingers""]","{""answer"": ""Yes"", ""details"": ""In Algeria, it's common to pair merguez with mint tea, a traditional beverage in the region.""}","['lamb', 'beef', 'paprika', 'garlic', 'coriander', 'cayenne', 'salt', 'black pepper', 'cumin', 'olive oil']","{""answer"": [""Religious holiday"", ""Family gathering"", ""National holiday""], ""details"": ""Merguez is a staple in Algerian cuisine and is often served during special occasions such as Eid al-Fitr, Eid al-Adha, and Algerian Independence Day. It is also commonly served at family gatherings and celebrations.""}"
860,hmis,Algeria,0,"`Hmis` (also spelled `H'mis`) is a traditional Algerian dish! It's a popular street food in Algeria, particularly in the northern regions. `Hmis` is essentially a type of fried dough pastry, similar to a doughnut.

The dough is typically made from flour, water, yeast, and salt, and is deep-fried until crispy and golden brown. The pastry is usually shaped into a twisted or knotted form, which gives it a distinctive appearance.

`Hmis` is often served as a snack or dessert, usually sprinkled with powdered sugar or coated in honey. It's a beloved treat among Algerians, especially during festive occasions and celebrations. The sweet, crispy, and airy texture of `Hmis` makes it a delightful indulgence for people of all ages!",Berber,Morocco,Morocco.,Moroccan.,"[""lunch"", ""dinner""]","[""Main dish - eaten with sides"", ""Soup""]","[""Right Hand"", ""Fingers""]","{""answer"": ""Yes"", ""details"": ""In Algeria, hmis is often served with a traditional tea, known as 'Atay', which is a strong and sweet black tea.""}","['lentils', 'tomatoes', 'onions', 'garlic', 'olive oil', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper']","{""answer"": [""Religious holiday"", ""Wedding"", ""Family gathering""], ""details"": ""In Algerian culture, hmis is often served on special occasions such as Eid al-Fitr, Eid al-Adha, and weddings. It's also commonly served during family gatherings and celebrations.""}"
859,poulet aux carottes à l'algerienne,Algeria,0,"Poulet aux carottes à l'algerienne, a classic dish from Algeria! It's a traditional North African culinary delight that combines the flavors of tender chicken, sweet carrots, and a blend of aromatic spices. Here's what I know about this mouthwatering dish:

**Description:**
Poulet aux carottes à l'algerienne is a hearty, slow-cooked stew originating from Algeria. The dish features tender pieces of chicken cooked in a rich, flavorful broth with sliced carrots and a fragrant blend of spices. The sauce is typically made with onions, garlic, ginger, cumin, coriander, cinnamon, and turmeric, which infuse the chicken and carrots with a warm, comforting aroma.

**Key ingredients:**

* Chicken thighs or legs (poulet)
* Sliced carrots (carottes)
* Onions
* Garlic
* Ginger
* Cumin
* Coriander
* Cinnamon
* Turmeric
* Olive oil
* Chicken broth
* Salt and black pepper

**Preparation:**
The chicken and carrots are typically browned in olive oil, then slow-cooked in a clay pot or Dutch oven with the aromatic spices and chicken broth. The stew is simmered for about an hour, allowing the flavors to meld together and the chicken to become tender and juicy.

**Serving suggestions:**
Poulet aux carottes à l'algerienne is often served with crusty bread, couscous, or over rice, allowing each bite to soak up the flavorful broth. This comforting dish is perfect for a cozy evening meal with family and friends.

Overall, poulet aux carottes à l'algerienne is a flavorful and satisfying Algerian dish that showcases the country's rich culinary heritage.",French.,Algeria,Algeria,Algerian,"[""lunch"", ""dinner""]","[""Main dish - stand alone (e.g. one pot meal)"", ""Main dish - eaten with sides""]","[""Right Hand""]","{""answer"": ""Yes"", ""details"": ""In Algeria, `poulet aux carottes à l'algerienne` is often served with a traditional mint tea, known as 'atay' in Arabic, which is a popular beverage in North African culture.""}","['chicken', 'carrots', 'onions', 'garlic', 'olive oil', 'cumin', 'coriander', 'paprika', 'cayenne pepper', 'salt']","{""answer"": [""Religious holiday"", ""Family gathering""], ""details"": ""Poulet aux carottes à l'algerienne is a popular Algerian dish that is often served on special occasions such as Eid al-Fitr, Eid al-Adha, and other family gatherings. It's a hearty and flavorful dish that brings people together.""}"
