Country,Rater_id,Dish name,Model,Generation_count,Would you associate the dish_name with your home and/or culture?,How familiar are you with the dish_name?,Is this an image of food?,Is this an image of the dish_name,Please rate quality of the image,"In your opinion, how closely does this image match what you’d expect an image of the dish_name to be?",Please provide an explanation for your answer ( especially important if the image doesn't resemble the dish in question),What do you see in the image? ( if this is not an image of food you can submit the form after answering this question),Please check any of the below that apply; presentation of the dish,Please check any of the below that apply; utensils,Please check any of the below that apply; background,Please check any of the below that apply; others,Familiarity_level,Image_match,Good_quality,Gross,Vomit,Disgusting,Rotten,Ugly,Burnt,Burned,Unappealing,Poop,Dung,Stale,Trash,Dirt,Horrible,Hideous,Unappetising,Disturbing,Unappetising_combined
United States,6,agua fresca,Stable Diffusion,0.0,Yes,"Somewhat familiar, I looked it up or asked someone",Yes,No,1.0,"The image resembles the dish_name, but it is not what I’d expect",This is a collage of shapes and colors and drinks.,,,The utensils are correct,The dish is shown served on a weird background,,Somewhat familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,agua fresca,Dalle3,0.0,Yes,"Somewhat familiar, I looked it up or asked someone",Yes,Yes,5.0,"The image resembles the dish_name, but it is not what I’d expect",This is a cartoon/line drawing of many different flavours of agua fresca layered together (which doesn't happen).,,The dish is shown served in a way that I’m used to,,,,Somewhat familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,agua fresca,Dalle2,0.0,Yes,"Somewhat familiar, I looked it up or asked someone",Yes,No,2.0,"The image resembles the dish_name, but it is not what I’d expect",These are drinks but agua fresca isn't thick/chunky and isn't neon,,,The utensils are correct,The dish is shown served on a weird background,,Somewhat familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,agua fresca,Dalle2,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,Yes,4.0,"The image resembles the dish_name, but it is not what I’d expect","The picture is of a drink that resembles agua fresca, but includes chunks of fruit and a sugared/salted rim, which I don't associate with agua fresca.",,The image sort of looks like the {dish_name} but it’s not quite right,,,,Somewhat familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,agua fresca,Dalle3,0.0,No,"Very familiar, I eat this dish regularly",Yes,No,3.0,"The image resembles the dish_name, but it is not what I’d expect",This is an illustration of a clear beverage with fruit in it and around the cup. ,,The image sort of looks like the {dish_name} but it’s not quite right,The utensils are correct,,,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,agua fresca,Stable Diffusion,0.0,No,"Very familiar, I eat this dish regularly",No,,2.0,,,I am unsure of what this image is supposed to portray.,,,,,Very familiar,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,7,agua fresca,Stable Diffusion,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,No,3.0,This is the dish but there are some components added that should not be there,It is a mix of actual frescos but from distorerted and confusing angles,,The image sort of looks like the {dish_name} but it’s not quite right,The utensils are correct,,,Somewhat familiar,"Resembles the dish, but has unexpected components",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,apple pie,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,2.0,"The image resembles the dish_name, but it is not what I’d expect","The filling is too dark and the apple chunks aren't obvious enough, but it does still register as ""probably apple pie""",,"The image sort of looks like the {dish_name} but it’s not quite right, It should be in a pie plate",,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,apple pie,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,5.0,"Very close, it looks real–the image looks exactly like the dish_name",This is a high quality (but clearly generated) image of two apple pies and vanilla ice cream),,The dish is shown served in a way that I’m used to,The utensils are incorrect,The dish is shown served on a weird background,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,apple pie,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,1.0,"The image resembles the dish_name, but it is not what I’d expect","Very bad rendering of what is probably apple pie given the lattice crust and light filling, but the filling isn't detailed enough to be sure",,a pie is served in the pie plate,,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
