id,local_name,continent,seed,country_match,country_llm,countries,ingredients_intersect,ingredients,ingredients_llm,ingredients_union
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,0,True,Algeria,Algeria,['chicken'],"chicken, tlitli, Chickpeas, cinamon","['chicken', 'onions', 'garlic', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper', 'olive oil', 'tomatoes']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'onions', 'garlic', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper', 'olive oil', 'tomatoes']"
745,طعام الحلحال - t3am 7al7al,Africa,0,False,Kuwait.,Algeria,['olive oil'],"olive oil, couscous, Sugar, lavender","['lamb or beef', 'onions', 'garlic', 'tomatoes', 'olive oil', 'paprika', 'cumin', 'coriander', 'salt', 'black pepper']","['olive oil', 'couscous', 'sugar', 'lavender', 'lamb or beef', 'onions', 'garlic', 'tomatoes', 'paprika', 'cumin', 'coriander', 'salt', 'black pepper']"
899,khdawedj ala darbouz,Africa,0,False,Morocco,Algeria,"['ghee', 'butter', 'chicken', 'cinnamon', 'onions']","ghee, butter, chickpea, chicken, cinnamon, onions","[""I apologize, but as a helpful assistant, I must inform you that I couldn't find any information on a traditional Algerian dish called 'khdawedj ala darbouz'. It's possible that it's a misspelling, a made-up name, or a very regional/local dish that is not well-known. However, if you'd like, I can help you explore other traditional Algerian dishes or help with a different topic. Just let me know!""]","['ghee', 'butter', 'chickpea', 'chicken', 'cinnamon', 'onions']"
897,zaligou,Africa,0,False,Benin.,Algeria,['garlic'],"garlic, chicken, pepper, meat, Green bean","['tomatoes', 'onions', 'garlic', 'olive oil', 'lamb meat', 'cumin', 'coriander', 'cayenne pepper', 'salt', 'black pepper']","['garlic', 'chicken', 'pepper', 'meat', 'Green bean', 'tomatoes', 'onions', 'olive oil', 'lamb meat', 'cumin', 'coriander', 'cayenne pepper', 'salt', 'black pepper']"
889,gateau el mabroucha,Africa,0,False,Tunisia,Algeria,"['flour', 'sugar']","baking powder, flour, Sugar, egg, apricot jam, lemon zest, Oil","['flour', 'almonds', 'butter', ""confectioner's sugar"", 'eggs', 'orange flower water', 'rose water', 'milk', 'sugar', 'yeast']","['baking powder', 'flour', 'sugar', 'egg', 'almonds', 'butter', ""confectioner's sugar"", 'eggs', 'milk', 'yeast']"
863,chakhchoukhat dhfer,Africa,0,False,Morocco,Algeria,"['onion', 'garlic', 'olive oil']","carrot, semolina, onion, courgette, butter, garlic, ras el hanout, chickpea, meat, Oil","['Tomatoes', 'Onions', 'Bell Peppers', 'Olives', 'Capertas', 'Garlic', 'Olive Oil', 'Salt', 'Black Pepper', 'Chili Peppers']","['tomatoes', 'onion', 'bell peppers', 'olives', 'garlic', 'olive oil', 'salt', 'black pepper', 'chili peppers', 'carrot', 'semolina', 'courgette', 'butter', 'ras el hanout', 'chickpea', 'meat']"
862,tadjin djelbana,Africa,0,False,Mauritania.,Algeria,"['beef', 'onion']","carrot, onion, olive oil, potato, artichoke, beef, ras el hanout, pea, meat","['lamb or beef', 'onions', 'garlic', 'ginger', 'cumin', 'coriander', 'paprika', 'cayenne pepper', 'salt', 'black pepper']","['carrot', 'onion', 'olive oil', 'potato', 'artichoke', 'beef', 'ras el hanout', 'pea', 'meat', 'lamb or beef', 'garlic', 'ginger', 'cumin', 'coriander', 'paprika', 'cayenne pepper', 'salt', 'black pepper']"
861,merguez,Africa,0,True,Algeria,Algeria,"['black pepper', 'paprika', 'cumin', 'garlic', 'coriander']","black pepper, paprika, cumin, garlic, coriander, minced meat","['lamb', 'beef', 'paprika', 'garlic', 'coriander', 'cayenne', 'salt', 'black pepper', 'cumin', 'olive oil']","['black pepper', 'paprika', 'cumin', 'garlic', 'coriander', 'minced meat', 'lamb', 'beef', 'cayenne', 'salt', 'olive oil']"
860,hmis,Africa,0,False,Morocco,Algeria,"['tomato', 'olive oil', 'pepper']","tomato, olive oil, pepper","['lentils', 'tomatoes', 'onions', 'garlic', 'olive oil', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper']","['tomato', 'olive oil', 'pepper', 'lentils', 'onions', 'garlic', 'cumin', 'coriander', 'paprika', 'salt', 'black pepper']"
859,poulet aux carottes à l'algerienne,Africa,0,True,Algeria,Algeria,"['carrot', 'olive oil', 'cumin', 'chicken', 'onions']","carrot, olive oil, cumin, chicken, raisins, prunes, onions","['chicken', 'carrots', 'onions', 'garlic', 'olive oil', 'cumin', 'coriander', 'paprika', 'cayenne pepper', 'salt']","['carrot', 'olive oil', 'cumin', 'chicken', 'raisins', 'prunes', 'onions', 'garlic', 'coriander', 'paprika', 'cayenne pepper', 'salt']"
858,Khobz el Dar,Africa,0,False,Morocco,Algeria,"['Sugar', 'Yeast', 'Sesame seeds']","semolina, flour, Milk, Sugar, Yeast, sesame, water, Oil","['Wheat flour', 'Water', 'Salt', 'Sugar', 'Yeast', 'Olive oil', 'Anise seeds', 'Sesame seeds', 'Nigella seeds', 'Fennel seeds']","['semolina', 'flour', 'Milk', 'Sugar', 'Yeast', 'sesame', 'water', 'Oil', 'Wheat flour', 'Water', 'Salt', 'Olive oil', 'Anise seeds', 'Nigella seeds', 'Fennel seeds']"
857,Dersa,Africa,0,False,Ethiopia.,Algeria,"['garlic', 'olive oil', 'paprika', 'cumin']","olive oil, paprika, cumin, garlic, red pepper","['lamb or beef', 'onions', 'garlic', 'tomatoes', 'olive oil', 'paprika', 'cumin', 'coriander', 'salt', 'black pepper']","['olive oil', 'paprika', 'cumin', 'garlic']"
856,Chtitha Batata,Africa,0,True,Algeria,Algeria,"['potato', 'onion', 'garlic', 'tomato']","carrot, tomato, onion, potato, meadow sweet, garlic","['potatoes', 'lamb or beef', 'onions', 'garlic', 'tomatoes', 'peppers', 'cumin', 'paprika', 'olive oil', 'salt and black pepper']","['carrot', 'tomato', 'onion', 'potato', 'meadow sweet', 'garlic', 'lamb or beef', 'peppers', 'cumin', 'paprika', 'olive oil', 'salt and black pepper']"
854,chorba beidha,Africa,0,False,Tunisia,Algeria,"['onion', 'garlic', 'vermicelli']","onion, garlic, chicken, cinnamon, water, Vermicelli","['onions', 'garlic', 'lamb or beef broth', 'tomatoes', 'white beans', 'vermicelli pasta', 'vegetable oil', 'salt', 'black pepper', 'cumin']","['onion', 'garlic', 'vermicelli']"
689,Dolma qarnoun,Africa,0,False,Iraq,Algeria,"['tomato', 'meat']","tomato, parsley, artichoke, chickpea, meat","['Stuffed cabbage leaves', 'Ground meat (beef or lamb)', 'Onions', 'Tomatoes', 'Rice', 'Paprika', 'Cumin', 'Garlic', 'Salt', 'Black pepper']","['tomato', 'parsley', 'artichoke', 'meat', 'Stuffed cabbage leaves', 'Ground meat (beef or lamb)', 'Onions', 'Rice', 'Paprika', 'Cumin', 'Garlic', 'Salt', 'Black pepper']"
688,3rayech,Africa,0,True,Tunisia,Algeria,"['flour', 'sugar']","almond, vanilla, butter, flour, Sugar, lemon juice, orange water","['semolina flour', 'water', 'salt', 'yeast', 'olive oil', 'anise seeds', 'sesame seeds', 'fennel seeds', 'black pepper', 'garlic']","['almond', 'vanilla', 'butter', 'flour', 'sugar', 'lemon juice', 'orange water', 'semolina flour', 'water', 'salt', 'yeast', 'olive oil', 'anise seeds', 'sesame seeds', 'fennel seeds', 'black pepper', 'garlic']"
603,halwat el lambout,Africa,0,False,Lebanon,Algeria,"['butter', 'sugar']","vanilla extract, butter, baking powder, flour, Sugar, lemon zest","['semolina flour', 'ghee or butter', 'milk', 'sugar', 'rose water', 'orange blossom water', 'ground almonds', 'pistachios', 'coconut flakes', 'cardamom powder']","['vanilla extract', 'butter', 'sugar', 'lemon zest', 'semolina flour', 'ghee or butter', 'milk', 'rose water', 'orange blossom water', 'ground almonds', 'pistachios', 'coconut flakes', 'cardamom powder']"
601,chtitha lhem,Africa,0,True,Algeria,Algeria,"['tomato', 'onion', 'paprika', 'cumin']","carrot, tomato, onion, potato, paprika, cumin, chickpea, meat","['lamb meat', 'onions', 'garlic', 'tomatoes', 'olive oil', 'paprika', 'cumin', 'coriander', 'salt', 'black pepper']","['carrot', 'tomato', 'onion', 'potato', 'paprika', 'cumin', 'chickpea', 'meat', 'lamb meat', 'garlic', 'olive oil', 'coriander', 'salt', 'black pepper']"
551,kheshkhash,Africa,0,False,Tunisia,Algeria,"['honey', 'sugar']","honey, vanilla extract, butter, flour, Sugar, egg, Oil","['almonds', 'pistachios', 'hazelnuts', 'dried fruits', 'honey', 'rose water', 'orange blossom water', 'semolina flour', 'milk', 'sugar']","['honey', 'vanilla extract', 'butter', 'flour', 'Sugar', 'egg', 'Oil', 'almonds', 'pistachios', 'hazelnuts', 'dried fruits', 'rose water', 'orange blossom water', 'semolina flour', 'milk']"
484,Khfaf/ sfenj,Africa,0,False,Morocco,Algeria,"['Flour', 'Yeast', 'Sugar']","semolina, sunflower oil, flour, Sugar, Yeast","['Flour', 'Yeast', 'Salt', 'Sugar', 'Vegetable oil', 'Eggs', 'Warm water', 'Active dry yeast', 'Baking powder', 'Anise seeds']","['semolina', 'sunflower oil', 'flour', 'Sugar', 'Yeast', 'Salt', 'Vegetable oil', 'Eggs', 'Warm water', 'Active dry yeast', 'Baking powder', 'Anise seeds']"
