id,local_name,continent,seed,country_match,country_llm,countries,ingredients_intersect,ingredients,ingredients_llm,ingredients_union
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,0,True,Algeria,Algeria,['chicken'],"chicken, tlitli, Chickpeas, cinamon","['chicken', 'onions', 'garlic', 'tomato paste', 'coriander', 'cumin', 'paprika', 'olive oil', 'lemon', 'salt']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'onions', 'garlic', 'tomato paste', 'coriander', 'cumin', 'paprika', 'olive oil', 'lemon', 'salt']"
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,1,True,Algeria,Algeria,['chicken'],"chicken, tlitli, Chickpeas, cinamon","['chicken', 'onions', 'tomatoes', 'garlic', 'olive oil', 'coriander', 'cumin', 'paprika', 'salt', 'pepper']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'onions', 'tomatoes', 'garlic', 'olive oil', 'coriander', 'cumin', 'paprika', 'salt', 'pepper']"
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,2,True,Algeria,Algeria,['chicken'],"chicken, tlitli, Chickpeas, cinamon","['chicken', 'onions', 'garlic', 'tomatoes', 'paprika', 'coriander', 'olive oil', 'lemon', 'cumin', 'salt']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'onions', 'garlic', 'tomatoes', 'paprika', 'coriander', 'olive oil', 'lemon', 'cumin', 'salt']"
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,3,True,Algeria,Algeria,['Chicken'],"chicken, tlitli, Chickpeas, cinamon","['Chicken', 'Onion', 'Tomato', 'Garlic', 'Paprika', 'Coriander', 'Cumin', 'Olive Oil', 'Salt', 'Pepper']","['Chicken', 'Chickpeas', 'tlitli', 'Cinamon', 'Onion', 'Tomato', 'Garlic', 'Paprika', 'Coriander', 'Cumin', 'Olive Oil', 'Salt', 'Pepper']"
748,Tli Tli B'djedj - تليتلي بالجاج,Africa,4,True,Algeria,Algeria,['chicken'],"chicken, tlitli, Chickpeas, cinamon","['chicken', 'vermicelli pasta', 'onions', 'tomato paste', 'garlic', 'coriander', 'cumin', 'bay leaves', 'olive oil', 'salt']","['chicken', 'tlitli', 'Chickpeas', 'cinamon', 'vermicelli pasta', 'onions', 'tomato paste', 'garlic', 'coriander', 'cumin', 'bay leaves', 'olive oil', 'salt']"
745,طعام الحلحال - t3am 7al7al,Africa,0,False,Morocco,Algeria,['olive oil'],"olive oil, couscous, Sugar, lavender","['lamb meat', 'onions', 'garlic', 'chickpeas', 'tomatoes', 'cumin', 'coriander', 'paprika', 'olive oil', 'harissa']","['olive oil', 'couscous', 'sugar', 'lavender', 'lamb meat', 'onions', 'garlic', 'chickpeas', 'tomatoes', 'cumin', 'coriander', 'paprika', 'harissa']"
745,طعام الحلحال - t3am 7al7al,Africa,1,False,Egypt,Algeria,"['olive oil', 'sugar']","olive oil, couscous, Sugar, lavender","['lamb meat', 'onions', 'tomatoes', 'potatoes', 'garlic', 'chickpeas', 'paprika', 'cumin', 'coriander', 'bay leaves']","['olive oil', 'couscous', 'Sugar', 'lavender', 'lamb meat', 'onions', 'tomatoes', 'potatoes', 'garlic', 'chickpeas', 'paprika', 'cumin', 'coriander', 'bay leaves']"
745,طعام الحلحال - t3am 7al7al,Africa,2,False,Tunisia,Algeria,['olive oil'],"olive oil, couscous, Sugar, lavender","['semolina', 'olive oil', 'onions', 'garlic', 'tomato paste', 'chickpeas', 'lamb', 'cumin', 'coriander', 'paprika']","['olive oil', 'couscous', 'Sugar', 'lavender', 'semolina', 'onions', 'garlic', 'tomato paste', 'chickpeas', 'lamb', 'cumin', 'coriander', 'paprika']"
745,طعام الحلحال - t3am 7al7al,Africa,3,False,Libya,Algeria,['couscous'],"olive oil, couscous, Sugar, lavender","['Couscous', 'Chickpeas', 'Meat (typically lamb or chicken)', 'Onions', 'Tomatoes', 'Carrots', 'Potatoes', 'Zucchini', 'Turnips', 'Spices (such as cumin, paprika, and cinnamon)']","['olive oil', 'couscous', 'sugar', 'lavender', 'chickpeas', 'meat', 'onions', 'tomatoes', 'carrots', 'potatoes', 'zucchini', 'turnips', 'spices', 'cumin', 'paprika', 'cinnamon']"
745,طعام الحلحال - t3am 7al7al,Africa,4,False,Morocco,Algeria,['olive oil'],"olive oil, couscous, Sugar, lavender","['lamb meat', 'onions', 'garlic', 'tomatoes', 'chickpeas', 'cumin', 'coriander', 'paprika', 'potatoes', 'olive oil']","['olive oil', 'couscous', 'Sugar', 'lavender', 'lamb meat', 'onions', 'garlic', 'tomatoes', 'chickpeas', 'cumin', 'coriander', 'paprika', 'potatoes']"
