id,seed,local_name,apologize,not known,not real,take a guess,describe
748,0,Tli Tli B'djedj - تليتلي بالجاج,False,False,False,False,"`Tli Tli B'djedj - تليتلي بالجاج` is a popular dish in Algeria, particularly in the northern regions. It is a hearty and flavorful dish made with chicken and small traditional Algerian pasta called tli tli. The chicken is typically cooked with onions, garlic, tomatoes, and a blend of spices such as paprika, cumin, and coriander. The tli tli pasta is then added to the stew and cooked until tender. The dish is often garnished with fresh herbs like parsley and served hot. It is known for its comforting and aromatic flavors, making it a beloved meal in Algerian cuisine."
748,1,Tli Tli B'djedj - تليتلي بالجاج,False,False,False,False,"`Tli Tli B'djedj - تليتلي بالجاج` is a traditional Algerian dish that is typically made with chicken, vegetables, and a flavorful broth. The dish is essentially a stew that features tender pieces of chicken, such as thighs or drumsticks, along with vegetables like potatoes, carrots, and peas. The broth is seasoned with a variety of herbs and spices, which can include cinnamon, turmeric, paprika, and cumin. The dish is often served over couscous or with crusty bread for soaking up the delicious sauce. `Tli Tli B'djedj - تليتلي بالجاج` is a hearty and comforting meal that is popular in Algerian households and is often enjoyed during family gatherings and special occasions."
748,2,Tli Tli B'djedj - تليتلي بالجاج,False,False,False,False,"`Tli Tli B'djedj` is a traditional Algerian dish consisting of pieces of chicken cooked in a flavorful sauce along with vegetables such as carrots, potatoes, and peas. The dish is seasoned with a variety of spices including cumin, paprika, and garlic, giving it a rich and aromatic flavor. Once the chicken and vegetables are cooked, the dish is typically served over a bed of homemade bread called `tli tli`, which is similar to a thick semolina porridge. This hearty and comforting dish is a favorite in Algeria and is often enjoyed during family gatherings and special occasions."
748,3,Tli Tli B'djedj - تليتلي بالجاج,False,False,False,False,"`Tli Tli B'djedj - تليتلي بالجاج` is a traditional Algerian dish that consists of homemade noodles cooked with chicken. The homemade noodles are usually long and thin, similar to spaghetti, and are made from a simple mixture of flour, water, and sometimes eggs. The chicken is typically seasoned with a variety of spices such as cumin, paprika, and cinnamon, and cooked until tender. The noodles and chicken are then combined in a flavorful broth, creating a comforting and filling dish that is often enjoyed during family gatherings and special occasions in Algeria. It is a popular and beloved dish that showcases Algeria's rich culinary heritage."
748,4,Tli Tli B'djedj - تليتلي بالجاج,False,False,False,False,"`Tli Tli B'djedj - تليتلي بالجاج`, also known as Tli Tli with chicken, is a traditional Algerian dish that is popular in Algerian cuisine. It consists of small, hand-rolled semolina pasta that is cooked with chicken in a flavorful spiced broth. The pasta is usually shaped into small balls or pieces and cooked until tender in the broth, which is seasoned with a blend of spices that may include cumin, paprika, coriander, and garlic. The dish is often garnished with fresh herbs such as parsley or cilantro before serving. `Tli Tli B'djedj - تليتلي بالجاج` is a comforting and hearty meal that is commonly enjoyed during special occasions and family gatherings in Algeria."
745,0,طعام الحلحال - t3am 7al7al,False,False,False,False,"`طعام الحلحال - t3am 7al7al` is a traditional Algerian dish that consists of steamed couscous grains mixed with buttermilk. The dish is typically served with a side of vegetables such as tomatoes, cucumbers, and green onions. It is a popular meal in Algeria, especially during the summer months when buttermilk is plentiful. The combination of fluffy couscous and tangy buttermilk creates a refreshing and satisfying dish that is enjoyed by many Algerians."
745,1,طعام الحلحال - t3am 7al7al,False,False,False,False,"`طعام الحلحال - t3am 7al7al` is a traditional Algerian dish that is popular in the region. It is a hearty and flavorful stew made with lamb, vegetables such as carrots, potatoes, and peas, as well as various spices like cumin, coriander, and paprika. The dish is slow-cooked to allow the flavors to meld together and create a delicious and comforting meal. `طعام الحلحال - t3am 7al7al` is often served with bread or couscous and is a favorite during family gatherings and special occasions in Algeria."
745,2,طعام الحلحال - t3am 7al7al,False,False,False,False,"`T3am 7al7al` is a popular traditional Algerian dish, especially in the eastern regions of the country. It is a hearty and flavorful stew typically made with lamb or chicken, cooked with a variety of vegetables such as potatoes, carrots, onions, and tomatoes. The dish is seasoned with a blend of traditional spices like cumin, paprika, coriander, and garlic, which give it a rich and aromatic taste. `T3am 7al7al` is often served with couscous, bread, or rice, and is a comforting and satisfying meal enjoyed by families and communities during gatherings and special occasions."
745,3,طعام الحلحال - t3am 7al7al,False,False,False,False,"`طعام الحلحال - t3am 7al7al` is a traditional Algerian dish that is especially popular in the city of Constantine. It is a flavorful and hearty meal consisting of couscous served with a rich and savory stew made with lamb or chicken, vegetables such as carrots, potatoes, and peas, and a variety of aromatic spices like cumin, coriander, and paprika. The stew is typically cooked slowly to allow the flavors to meld together, resulting in a comforting and satisfying dish that is enjoyed by many Algerians. The dish is often garnished with chopped fresh herbs like parsley or cilantro before serving. It is commonly served during special occasions and celebrations, as well as being a staple dish in Algerian cuisine."
745,4,طعام الحلحال - t3am 7al7al,False,False,False,False,"`طعام الحلحال - t3am 7al7al` is a traditional Algerian dish that is popular in the Saharan region. It consists of a mixture of meat (usually lamb or beef), vegetables (such as carrots, potatoes, and chickpeas), and various aromatic spices. The dish is slow-cooked in a pot or tagine, allowing the flavors to meld together and create a rich, hearty stew. `T3am 7al7al` is often served with bread or couscous and is a comforting and satisfying meal, especially during the colder months. It is also commonly enjoyed during special occasions or gatherings with family and friends."
